"﻿Billing address","Indirizzo di fatturazione"
"Shipping address","Indirizzo di consegna"
"Shipping method","Modalità di consegna"
"Time of Delivery","Data di consegna"
"Payment method","Metodi di pagamento"
"Order Review","Revisione Ordine"
"First Name","Nome"
"Last Name","Cognome"
"Email Address","Indirizzo Email"
"Company","Società"
"Country","Nazione"
"State/Province","Stato/Provincia"
"Zip/Postal","Codice postale"
"City","Città"
"Address","Indirizzo"
"Telephone","Recapito telefonico"
"Fax","Fax"
"Tax/VAT number","Tassa/numero di Partita IVA"
"Date of Birth","Data di Nascita"
"Gender","Sesso"
"Prefix","Prefisso"
"M.I.","M.I."
"Suffix","Suffisso"
"MM","MM"
"DD","GG"
"YYYY","AAAA"
"Save in address book","Salvare nella rubrica indirizzi"
"Create an Account","Creare Conto"
"Password","Password"
"Confirm Password","Confermare Password"
"Ship to this address","Spedire all'indirizzo di fatturazione"
"Comments","Commenti"
"Already registered? Please log in here","Già registrati? Cliccare qui per effettuare il login."
"Customer Login","Login del Cliente"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Accetto il  <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Termini e Condizioni</a>"
"Login","Login"
"Forgot Your Password?","Avete dimenticato la Vostra password?"
"Place Order","Piazzare l'Ordine"
"Subscribe to newsletter","Abbonarsi alla newsletter"
"* This field is required","* Questo campo è obbligatorio"
"* Please select an option","* Si prega di scegliere un'opzione"
"* This checkbox is required","* Questa casella di controllo è richiesta"
"*Between ","*Tra "
" and "," e "
"characters allowed","caratteri ammessi"
"* Checks allowed Exceeded","* Controlli permessi in Eccesso"
"* Please select ","Si prega di selezionare"
" options"," opzioni"
"* Your field is not matching","Il Vostro campo non si abbina"
"* Invalid phone number","* Numero telefonico non valido"
"* Invalid email address","* Indirizzo email non valido"
"* Invalid date, must be in YYYY-MM-DD format","* Data non valida  deve essere nel formato AAAA-MM-GG"
"* Numbers only","* Solo numeri"
"* This user is available","* Questo utente è disponibile"
"* Loading, please wait","* In caricamento,  si prega di attendere"
"* This user is already taken","* Questo utente è già in uso"
"* This name is already taken","* Questo nome è già in uso"
"* This name is available","* Questo nome è disponibile"
"* Letters only","* Solo lettere"
"* You must have a firstname and a lastname","* Dovete avere un nome e un cognome"
"Check this checkbox if you want to add gift messages.","Spuntate questa casella di controllo se volete aggiungere messaggi al regalo"
"Enter a gift message for entire order.","Inserite un messaggio di regalo per tutto l'ordine"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Potete lasciare in bianco questa casella di controllo se non desiderate aggiungere un messaggio di regalo per tutto l'ordine"
"From","Da"
"To","A"
"Message","Messaggio"
"Item %d of %d","Articolo %d di %d"
"Updating information, please wait...","Informazioni in aggiornamento,  si prega di attendere…"
"General","Generale"
"Enable LightCheckout","Abilitare Controllo in Uscita Leggero"
"Default Country","Nazione di Default"
"Default Shipping Method","Metodo di Spedizione di Default"
"Default Payment Method","Metodo di Pagamento di Default"
"Page Title","Titolo della Pagina"
"Page Content","Contenuto della Pagina"
"Enable Different Shipping Address","Abilita Diverso Indirizzo di Spedizione"
"Enable Delivery Date","Abilita data di Spedizione"
"Enable GeoIP for Country","Abilita IP Geografico per Nazione"
"Registration","Registrazione"
"Checkout Mode","Modalità di Verifica Uscita"
"Registered and guest customers","Clienti registrati e ospiti"
"Only registered customers","Solo clienti registrati"
"Only guest customers","Solo clienti ospiti"
"Enable/Disable Fields","Abilita/Disabilita Campi Indirizzi"
"Region","Regione"
"Zip/Postcode","CAP/Codice Postale"
"Newsletter Checkbox","Casella di Controllo della Newsletter"
"Sort Address Fields","Seleziona Campi Indirizzo"
"Company Order","Societò dell'Ordine"
"Country Order","Nazione dell'Ordine"
"City Order","Città dell'Ordine"
"Telephone Order","Ordine Telefonico"
"Fax Order","Ordine via Fax"
"State/Region Order","Regione dell'Ordine"
"Address Order","Indirizzo dell'Ordine"
"Zip/Postcode Order","CAP/Codice Postale dell'Ordine"
"Terms & Conditions","Termini&Condizioni"
