"Billing address","Laskutusosoite"
"Shipping address","Toimitusosoite"
"Shipping method","Toimitustapa"
"Time of Delivery","Toimitusaika"
"Payment method","Maksutapa"
"Order Review","Tilauksen tarkistus"
"First Name","Etunimi"
"Last Name","Sukunimi"
"Email Address","S-postiosoite"
"Company","Yritys"
"Country","Maa"
"State/Province","Osavaltio/Provinssi"
"Zip/Postal","Postinumero"
"City","Kaupunki"
"Address","Osoite"
"Telephone","Puhelin"
"Fax","Faksi"
"Tax/VAT number","Vero/Y-tunnus"
"Date of Birth","Syntymäaika"
"Gender","Sukupuoli"
"Prefix","Titteli"
"M.I.","Toisen etunimen alkukirjain"
"Suffix","Jälkiliite"
"MM","KK"
"DD","PP"
"YYYY","VVVV"
"Save in address book","Tallenna osoitekirjaan"
"Create an Account","Luo tili"
"Password","Salasana"
"Confirm Password","Vahvista salasana"
"Ship to this address","Toimitus laskutusosoitteeseen"
"Comments","Huomautuksia"
"Already registered? Please log in here","Rekisteröitynyt? Kirjaudu tästä"
"Customer Login","Asiakas Kirjaudu"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Hyväksyn  <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Yleiset ehdot</a>"
"Login","Kirjaudu"
"Forgot Your Password?","Salasana unohtunut?"
"Place Order","Tee tilaus"
"Subscribe to newsletter","Tilaa uutiskirje "
"* This field is required","* Tämä kenttä on pakollinen"
"* Please select an option","* Valitse vaihtoehto"
"* This checkbox is required","* Tämä valintaruutu on pakollinen"
"*Between ","* Väli "
" and "," ja "
"characters allowed","sallitut merkit"
"* Checks allowed Exceeded","* Sallitut tarkistukset Ylitetty"
"* Please select ","Valitse "
" options"," vaihtoehdot"
"* Your field is not matching","* Kenttä ei täsmä"
"* Invalid phone number","* Virheellinen puhelinnumero"
"* Invalid email address","* Virheellinen s-postiosoite"
"* Invalid date, must be in YYYY-MM-DD format","* Virheellinen päivämäärä, se on oltava muodossa VVVV-KK-PP"
"* Numbers only","* Vain numeroita"
"* This user is available","* Tämä käyttäjä on vapaa"
"* Loading, please wait","* Lataus meneillään, ole hyvä ja odota"
"* This user is already taken","* Tämä käyttäjä on jo varattu"
"* This name is already taken","* Tämä nimi on jo käytössä"
"* This name is available","* Tämä nimi on vapaa"
"* Letters only","* Vain kirjaimia"
"* You must have a firstname and a lastname","* Sinulla pitää olla etunimi ja sukunimi"
"Check this checkbox if you want to add gift messages.","Rastita tämä valintaruutu jos haluat lisätä lahjaviestejä."
"Enter a gift message for entire order.","Kirjoita lahjaviesti koko tilaukselle."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Jätä ruutu tyhjäksi jos et halua kirjoittaa lahjaviestiä koko tilaukselle."
"From","Keneltä"
"To","Kenelle"
"Message","Viesti"
"Item %d of %d","Tuote %d sta %d"
"Updating information, please wait...","Tietojen päivitys, odota..."
"General","Yleinen"
"Enable LightCheckout","Ota käyttöön LightCheckout"
"Default Country","Oletusmaa"
"Default Shipping Method","Oletus toimitustapa"
"Default Payment Method","Oletus maksutapa"
"Page Title","Sivun otsikko"
"Page Content","Sivun sisältö"
"Enable Different Shipping Address","Ota käyttöön toinen toimitusosoite"
"Enable Delivery Date","Ota käyttöön Toimituspäivämäärä"
"Enable GeoIP for Country","Ota käyttöön maan GeoIP"
"Registration","Rekisteröinti"
"Checkout Mode","Uloskirjaus tila"
"Registered and guest customers"," Rekisteröidyt sekä rekisteröimättömät asiakkaat"
"Only registered customers","Vain rekisteröidyt asiakkaat"
"Only guest customers","Vain ei rekisteröimättömät asiakkaat"
"Enable/Disable Fields","Ota käyttöön / Posta käytöstä Osoitekenttä"
"Region","Alue"
"Zip/Postcode","Postinumero"
"Newsletter Checkbox","Uutiskirje Valintaruutu"
"Sort Address Fields","Lajittele Osoite Kenttä"
"Company Order","Yritys Tilaus"
"Country Order","Maa Tilaus"
"City Order","Kaupunki Tilaus"
"Telephone Order","Puhelin Tilaus"
"Fax Order","Faksi Tilaus"
"State/Region Order","Alue Tilaus"
"Address Order","Osoite Tilaus"
"Zip/Postcode Order","Postinumero Tilaus"
"Terms & Conditions","Yleiset ehdot"
"Enable Terms and Conditions","Ota käyttöön Yleiset ehdot"
"Terms and Conditions Text","Yleiset ehdot Teksti"
"Popup Width in Pixels","Ponnahdusikkuna Leveys pikseleissä"
"Popup Height in Pixels","Ponnahdusikkuna Korkeus pikseleissä"
"Enable","Ota käyttöön"
"Disable"," Poista käytöstä"
"Required","Pakollinen"
